Security Code,Record Type,Trade ID,Price ,Quantity ,Trade Type ,Trade Time
1398,T,174,5.19,1000,103,2.01E+13
1398,T,175,5.19,20000,103,2.01E+13
1398,T,176,5.19,15000,103,2.01E+13
1398,T,177,5.19,10000,103,2.01E+13
1398,T,178,5.19,63000,103,2.01E+13
1398,T,179,5.19,300000,103,2.01E+13
1398,T,180,5.19,1000,103,2.01E+13
1398,T,181,5.19,12000,103,2.01E+13
1398,T,182,5.19,34000,103,2.01E+13
1398,T,183,5.19,12000,103,2.01E+13
1398,T,184,5.19,93000,103,2.01E+13
1398,T,185,5.19,102000,103,2.01E+13
1398,T,186,5.19,183000,103,2.01E+13
1398,T,187,5.19,1000,103,2.01E+13
1398,T,188,5.19,6000,103,2.01E+13
1398,T,189,5.19,6000,103,2.01E+13
1398,T,190,5.19,5000,103,2.01E+13
1398,T,191,5.19,6000,103,2.01E+13
1398,T,192,5.19,2000,103,2.01E+13
1398,T,193,5.19,10000,103,2.01E+13
1398,T,194,5.19,22000,103,2.01E+13
1398,T,195,5.19,1000,103,2.01E+13
1398,T,196,5.19,15000,103,2.01E+13
1398,T,197,5.19,10000,103,2.01E+13
1398,T,198,5.19,50000,103,2.01E+13
1398,T,199,5.19,15000,103,2.01E+13
1398,T,200,5.19,8000,103,2.01E+13
1398,T,201,5.19,129000,103,2.01E+13
1398,T,202,5.19,671000,0,2.01E+13
1398,T,203,5.19,3000,0,2.01E+13
1398,T,204,5.19,12000,0,2.01E+13
1398,T,205,5.19,10000,0,2.01E+13
1398,T,206,5.19,1000,0,2.01E+13
1398,T,207,5.2,2000,0,2.01E+13
1398,T,208,5.19,1000,0,2.01E+13
1398,T,209,5.19,8000,0,2.01E+13
1398,T,210,5.19,24000,0,2.01E+13
1398,T,211,5.19,26000,0,2.01E+13
1398,T,212,5.19,38000,0,2.01E+13
1398,T,213,5.19,12000,0,2.01E+13
1398,T,214,5.19,11000,0,2.01E+13
1398,T,215,5.2,25000,0,2.01E+13
1398,T,216,5.19,12000,0,2.01E+13
1398,T,217,5.19,22000,0,2.01E+13
1398,T,218,5.19,11000,0,2.01E+13
1398,T,219,5.19,11000,0,2.01E+13
1398,T,220,5.19,12000,0,2.01E+13
1398,T,221,5.19,2000,0,2.01E+13
1398,T,222,5.19,20000,0,2.01E+13
1398,T,223,5.19,46000,0,2.01E+13
1398,T,224,5.19,6000,0,2.01E+13
1398,T,225,5.19,45000,0,2.01E+13
1398,T,226,5.19,11000,0,2.01E+13
1398,T,227,5.2,35000,0,2.01E+13
1398,T,228,5.2,2000,0,2.01E+13
1398,T,229,5.2,2000,0,2.01E+13
1398,T,230,5.2,1000,0,2.01E+13
1398,T,231,5.2,4000,0,2.01E+13
1398,T,232,5.2,38000,0,2.01E+13
1398,T,233,5.2,2000,0,2.01E+13
1398,T,234,5.2,7000,0,2.01E+13
1398,T,235,5.2,1000,0,2.01E+13
1398,T,236,5.2,3000,0,2.01E+13
1398,T,237,5.2,30000,0,2.01E+13
1398,T,238,5.2,20000,0,2.01E+13
1398,T,239,5.2,37000,0,2.01E+13
1398,T,240,5.2,1000,0,2.01E+13
1398,T,241,5.2,107000,0,2.01E+13
1398,T,242,5.19,12000,0,2.01E+13
1398,T,243,5.19,3000,0,2.01E+13
1398,T,244,5.19,7000,0,2.01E+13
1398,T,245,5.19,1000,0,2.01E+13
1398,T,246,5.19,34000,0,2.01E+13
1398,T,247,5.19,45000,0,2.01E+13
1398,T,248,5.19,162000,0,2.01E+13
1398,T,249,5.2,37000,0,2.01E+13
1398,T,250,5.2,16000,0,2.01E+13
1398,T,251,5.19,558000,0,2.01E+13
1398,T,252,5.19,46000,0,2.01E+13
1398,T,253,5.2,2000,0,2.01E+13
1398,T,254,5.2,4000,0,2.01E+13
1398,T,255,5.2,4000,0,2.01E+13
1398,T,256,5.2,19000,0,2.01E+13
1398,T,257,5.2,11000,0,2.01E+13
1398,T,258,5.2,2000,0,2.01E+13
1398,T,259,5.2,20000,0,2.01E+13
1398,T,260,5.2,4000,100,2.01E+13
1398,T,261,5.2,4000,0,2.01E+13
1398,T,262,5.2,1000,0,2.01E+13
1398,T,263,5.21,3000,0,2.01E+13
1398,T,264,5.21,34000,0,2.01E+13
1398,T,265,5.21,50000,0,2.01E+13
1398,T,266,5.21,1000,0,2.01E+13
1398,T,267,5.22,50000,0,2.01E+13
1398,T,268,5.22,8000,0,2.01E+13
1398,T,269,5.22,7000,0,2.01E+13
1398,T,270,5.22,2000,0,2.01E+13
1398,T,271,5.22,1000,0,2.01E+13
1398,T,272,5.23,50000,0,2.01E+13
1398,T,273,5.23,6000,0,2.01E+13
1398,T,274,5.23,8000,0,2.01E+13
1398,T,275,5.23,178000,0,2.01E+13
1398,T,276,5.2,25000,0,2.01E+13
1398,T,277,5.2,5000,0,2.01E+13
1398,T,278,5.2,10000,0,2.01E+13
1398,T,279,5.2,26000,0,2.01E+13
1398,T,280,5.2,8000,0,2.01E+13
1398,T,281,5.2,12000,0,2.01E+13
1398,T,282,5.2,6000,0,2.01E+13
1398,T,283,5.2,5000,0,2.01E+13
1398,T,284,5.2,11000,0,2.01E+13
1398,T,285,5.22,127000,0,2.01E+13
1398,T,286,5.23,52000,0,2.01E+13
1398,T,287,5.2,4000,0,2.01E+13
1398,T,288,5.19,196000,0,2.01E+13
1398,T,289,5.21,77000,0,2.01E+13
1398,T,290,5.2,1000,100,2.01E+13
1398,T,291,5.23,90000,0,2.01E+13
1398,T,292,5.21,1000,101,2.01E+13
1398,T,293,5.21,2000,101,2.01E+13
1398,T,294,5.21,1000,101,2.01E+13
1398,T,295,5.21,1000,101,2.01E+13
1398,T,296,5.215,1000,101,2.01E+13
1398,T,297,5.215,1000,101,2.01E+13
1398,T,298,5.23,20000,101,2.01E+13
1398,T,299,5.23,356000,0,2.01E+13
1398,T,300,5.22,60000,0,2.01E+13
1398,T,301,5.2,57000,0,2.01E+13
1398,T,302,5.2,3000,0,2.01E+13
1398,T,303,5.2,76000,0,2.01E+13
1398,T,304,5.21,15000,0,2.01E+13
1398,T,305,5.21,35000,0,2.01E+13
1398,T,306,5.22,13000,0,2.01E+13
1398,T,307,5.22,2000,0,2.01E+13
1398,T,308,5.22,48000,0,2.01E+13
1398,T,309,5.22,2000,0,2.01E+13
1398,T,310,5.23,128000,0,2.01E+13
1398,T,311,5.21,1000,0,2.01E+13
1398,T,312,5.21,6000,0,2.01E+13
1398,T,313,5.2,2000,0,2.01E+13
1398,T,314,5.21,113000,0,2.01E+13
1398,T,315,5.23,57000,0,2.01E+13
1398,T,316,5.23,2000,101,2.01E+13
1398,T,317,5.22,1000,0,2.01E+13
1398,T,318,5.23,4000,0,2.01E+13
1398,T,319,5.23,1000,0,2.01E+13
1398,T,320,5.22,2000,0,2.01E+13
1398,T,321,5.22,9000,0,2.01E+13
1398,T,322,5.2,1000,0,2.01E+13
1398,T,323,5.2,1000,0,2.01E+13
1398,T,324,5.2,10000,0,2.01E+13
1398,T,325,5.22,39000,0,2.01E+13
1398,T,326,5.22,1000,0,2.01E+13
1398,T,327,5.23,18000,0,2.01E+13
1398,T,328,5.22,1000,100,2.01E+13
1398,T,329,5.23,5000,0,2.01E+13
1398,T,330,5.23,16000,0,2.01E+13
1398,T,331,5.23,10000,0,2.01E+13
1398,T,332,5.19,15000,0,2.01E+13
1398,T,333,5.21,10000,0,2.01E+13
1398,T,334,5.22,10000,0,2.01E+13
1398,T,335,5.2,23000,0,2.01E+13
1398,T,336,5.2,27000,0,2.01E+13
